Organization/Person Name,Organization/Person Name URL,Number of Investments,Number of Exits,Location,Contact Email,Website
Lorenz Bogaert,https://www.crunchbase.com/person/lorenz-bogaert,44,12,"Gent, Oost-Vlaanderen, Belgium",,
Quantonation,https://www.crunchbase.com/organization/quantonation,43,2,"Paris, Ile-de-France, France",christophe@quantonation.com,http://www.quantonation.com
Laser Digital,https://www.crunchbase.com/organization/laser-digital,43,,"Zürich, Zurich, Switzerland",inquiries@laserdigital.com,https://www.laserdigital.com/
Hiro Capital,https://www.crunchbase.com/organization/hiro-capital,43,5,"London, England, United Kingdom",enquiries@hiro.capital,https://hiro.capital/
Launchbay Capital,https://www.crunchbase.com/organization/digital-horizon,43,5,"London, England, United Kingdom",hello@launchbaycapital.com,https://launchbaycapital.com
Keen Venture Partners,https://www.crunchbase.com/organization/keen-venture-partners-2,43,4,"Amsterdam, Noord-Holland, The Netherlands",info@keenventurepartners.com,http://www.keenventurepartners.com/
Affirma Capital,https://www.crunchbase.com/organization/affirma-capital,43,12,"London, England, United Kingdom",,http://www.affirmacapital.com/
Crowberry Capital,https://www.crunchbase.com/organization/crowberry-capital,43,1,"Reykjavík, Gullbringusysla, Iceland",hello@crowberrycapital.com,http://crowberrycapital.com/
Mercia Ventures,https://www.crunchbase.com/organization/mercia-ventures,43,,"Henley In Arden, Warwickshire, United Kingdom",,https://www.mercia.co.uk/ventures
ADV,https://www.crunchbase.com/organization/accelerated-digital-ventures,43,5,"London, England, United Kingdom",hello@accelerated.ventures,https://accelerated.ventures/founders/
2Shares,https://www.crunchbase.com/organization/2shares,43,2,"London, England, United Kingdom",vip@2shares.fund,https://2shares.fund
Alex Macdonald,https://www.crunchbase.com/person/alex-macdonald,43,3,"London, England, United Kingdom",,https://alexfmac.substack.com
Metavallon VC,https://www.crunchbase.com/organization/metavallon-vc,43,2,"Athens, Attiki, Greece",contactus@metavallon.vc,http://www.metavallon.vc
LVL1 Group,https://www.crunchbase.com/organization/lvl1-group,43,9,"Limassol, Limassol, Cyprus",contact@lvl1group.com,https://lvl1group.com
Des Traynor,https://www.crunchbase.com/person/des-traynor,43,5,"Dublin, Dublin, Ireland",,https://destraynor.com/
FONGIT Innovation Fund,https://www.crunchbase.com/organization/fongit-innovation-fund,43,,"Geneva, Geneve, Switzerland",,https://www.fongit.ch/financing
Yabeo,https://www.crunchbase.com/organization/yabeo-capital,43,8,"Grünwald, Bayern, Germany",info@yabeo.de,http://yabeo.de/
Ian Hogarth,https://www.crunchbase.com/person/ian-hogarth,43,5,"London, England, United Kingdom",,
Spark Ventures,https://www.crunchbase.com/organization/spark-ventures,43,11,"London, England, United Kingdom",enquires@sparkventures.com,http://www.sparkventuremanagement.com
Tarvenn Ventures,https://www.crunchbase.com/organization/tarvenn,43,1,"Istanbul, Istanbul, Turkey",info@tarvenn.com,https://tarvenn.com/en/
Opes Impact Fund,https://www.crunchbase.com/organization/opes-impact-fund,43,1,"Milano, Lombardia, Italy",info@opesfund.eu,http://www.opesfund.eu
Pays de la Loire Participations,https://www.crunchbase.com/organization/pays-de-la-loire-participations,43,1,"Nantes, Pays de la Loire, France",,http://www.plp-participations.fr/
Inventures SA,https://www.crunchbase.com/organization/inventures-sa,43,4,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",info@mymicroinvest.com,http://inventures.fund
ABAB (Atlantic Business Angels Booster),https://www.crunchbase.com/organization/abab-atlantic-business-angels-booster,43,5,"Nantes, Pays de la Loire, France",,http://www.businessbooster.fr
TRGC,https://www.crunchbase.com/organization/trg-token-research-group,43,,"Amsterdam, Noord-Holland, The Netherlands",hello@trgc.io,http://trgc.io/
MPGI,https://www.crunchbase.com/organization/mpgi-2,43,5,"London, England, United Kingdom",,http://www.mpgi.co/
PeakBridge,https://www.crunchbase.com/organization/peakbridge,42,1,"Valletta, NA - Malta, Malta",martina@peakbridge.vc,https://peakbridge.vc
Early Game Ventures,https://www.crunchbase.com/organization/early-game-ventures,42,1,"Bucharest, Bucuresti, Romania",hello@earlygame.vc,https://earlygame.vc
Karma Ventures,https://www.crunchbase.com/organization/karma-ventures,42,5,"Tallinn, Harjumaa, Estonia",,http://www.karma.vc
SmartFin,https://www.crunchbase.com/organization/smartfin,42,8,"Brussels, Brussels Hoofdstedelijk Gewest, Belgium",info@smartfinvc.com,http://www.smartfinvc.com
IW Capital,https://www.crunchbase.com/organization/iw-capital,42,1,"London, England, United Kingdom",info@iwcapital.co.uk,http://iwcapital.co.uk/
Btomorrow Ventures,https://www.crunchbase.com/organization/btomorrow-ventures,42,2,"London, England, United Kingdom",contact@btomorrowv.com,https://www.btomorrowv.com
Frog Capital,https://www.crunchbase.com/organization/frog-capital,42,13,"London, England, United Kingdom",reception@frogcapital.com,http://www.frogcapital.com
BaltCap,https://www.crunchbase.com/organization/baltcap,42,10,"Tallinn, Harjumaa, Estonia",info@baltcap.com,http://www.baltcap.com
Swedfund International,https://www.crunchbase.com/organization/swedfund-international,42,5,"Stockholm, Stockholms Lan, Sweden",info@swedfund.se,http://www.swedfund.se/en
Korys,https://www.crunchbase.com/organization/korys,42,9,"Halle, Vlaams-Brabant, Belgium",enquiries@korys.be,http://www.korys.be/
another.vc,https://www.crunchbase.com/organization/another-vc,42,2,"Hamburg, Hamburg, Germany",hello@another.vc,https://www.another.vc
DOB Equity,https://www.crunchbase.com/organization/dob-equity,42,,"Veessen, Gelderland, The Netherlands",Deanbridges99@gmail.com,http://www.dobequity.nl
LeadX Capital Partners,https://www.crunchbase.com/organization/leadx-capital-partners,42,4,"Munich, Bayern, Germany",,https://www.leadxcapital.com
Sina Afra,https://www.crunchbase.com/person/sina-afra,42,13,"Istanbul, Istanbul, Turkey",,http://www.sinaafra.com
Aggregate Media,https://www.crunchbase.com/organization/aggregate-media,42,1,"Stockholm, Stockholms Lan, Sweden",info@aggregatemedia.com,http://www.aggregatemedia.com
Media Ventures,https://www.crunchbase.com/organization/media-ventures,42,10,"Cologne, Nordrhein-Westfalen, Germany",info@mediaventures.de,http://mediaventures.de
Mola,https://www.crunchbase.com/organization/mola-com,42,2,"Palma De Mallorca, Islas Baleares, Spain",info@mola.com,https://www.mola.com/
Equinor Ventures,https://www.crunchbase.com/organization/equinor-ventures,42,2,"Stavanger, Rogaland, Norway",,https://www.equinor.com/energy/ventures
3wVentures,https://www.crunchbase.com/organization/3wventures-com,42,8,"Herisau, Ausser-Rhoden, Switzerland",info@3wventures.com,http://www.3wventures.com
Apis Partners,https://www.crunchbase.com/organization/apis-partners,41,9,"London, England, United Kingdom",info@apis.pe,http://apis.pe/
OTB Ventures,https://www.crunchbase.com/organization/otb-ventures,41,2,"Amsterdam, Noord-Holland, The Netherlands",contact@otb.vc,http://otb.vc/
NLC,https://www.crunchbase.com/organization/nlc-accelerating-healthtech-inventions,41,,"Amsterdam, Noord-Holland, The Netherlands",info@nlc.health,https://nlc.health/
Aqua Spark,https://www.crunchbase.com/organization/aqua-sparks,41,2,"Utrecht, Utrecht, The Netherlands",info@aqua-spark.nl,http://www.aqua-spark.nl
InReach Ventures,https://www.crunchbase.com/organization/inreach-ventures,41,7,"London, England, United Kingdom",info@inreachventures.com,http://www.inreachventures.com
EquityPitcher Ventures,https://www.crunchbase.com/organization/equitypitcher,41,2,"Zürich, Zurich, Switzerland",info@equitypitcher.com,https://equitypitcher.com/
Sciety,https://www.crunchbase.com/organization/sciety,41,9,"Stockholm, Stockholms Lan, Sweden",financing@sciety.se,https://www.sciety.com/
G1 Ventures,https://www.crunchbase.com/organization/g1-venture-capital,41,1,"London, England, United Kingdom",team@g1.vc,https://g1.vc/
BM H Beteiligungs-Managementgesellschaft Hessen,https://www.crunchbase.com/organization/bm-h-beteiligungs-managementgesellschaft-hessen,41,1,"Wiesbaden, Hessen, Germany",,https://www.bmh-hessen.de/
Dialectic,https://www.crunchbase.com/organization/dialectic,41,1,"Zug, Zug, Switzerland",,https://dialectic.ch/
CABRA VC,https://www.crunchbase.com/organization/cabra-vc,41,5,"Limassol, Limassol, Cyprus",info@cabra.vc,http://www.cabra.vc
FunFair Ventures,https://www.crunchbase.com/organization/funfair-ventures,41,2,"Douglas, NA - Isle of Man, Isle of Man",projects@funfair.ventures,https://funfair.ventures
SIDE Capital,https://www.crunchbase.com/organization/side-capital,41,3,"Paris, Ile-de-France, France",contact@side-capital.com,http://www.side-capital.com/
Seier Capital,https://www.crunchbase.com/organization/seier-capital,41,5,"Berne, Bern, Switzerland",info@seiercapital.com,http://www.seiercapital.com/
Active Venture Partners,https://www.crunchbase.com/organization/active-venture-partners,41,13,"Barcelona, Catalonia, Spain",soderberg@active-vp.com,http://www.active-vp.com
Western Development Commission,https://www.crunchbase.com/organization/western-development-commission,41,5,"Ballaghaderreen, Roscommon, Ireland",info@wdc.ie,https://westerndevelopment.ie/
